Territory1,wildlife1,wildlife2
FOREST,BEAR,FOX
FOREST,FOX,SALMON
FOREST,ELK,SALMON
FOREST,HAWK,ELK
FOREST,FOX,HAWK
FOREST,SALMON,ELK
FOREST,ELK,
FOREST,HAWK,ELK
FOREST,ELK,
FOREST,SALMON,ELK
FOREST,FOX,SALMON
FOREST,ELK,SALMON
FOREST,BEAR,
FOREST,ELK,BEAR
FOREST,BEAR,ELK
FOREST,FOX,
FOREST,BEAR,FOX
FOREST,HAWK,ELK
MOUNTAIN,ELK,FOX
MOUNTAIN,BEAR,FOX
MOUNTAIN,BEAR,ELK
MOUNTAIN,FOX,ELK
MOUNTAIN,SALMON,BEAR
MOUNTAIN,BEAR,
MOUNTAIN,HAWK,
MOUNTAIN,ELK,
MOUNTAIN,FOX,BEAR
MOUNTAIN,ELK,HAWK
MOUNTAIN,BEAR,SALMON
MOUNTAIN,BEAR,FOX
MOUNTAIN,HAWK,BEAR
MOUNTAIN,ELK,
MOUNTAIN,BEAR,SALMON
MOUNTAIN,HAWK,ELK
MOUNTAIN,BEAR,
MOUNTAIN,SALMON,BEAR
PRAIRIE,SALMON,HAWK
PRAIRIE,ELK,SALMON
PRAIRIE,SALMON,ELK
PRAIRIE,FOX,
PRAIRIE,FOX,BEAR
PRAIRIE,SALMON,FOX
PRAIRIE,FOX,
PRAIRIE,ELK,HAWK
PRAIRIE,ELK,
PRAIRIE,SALMON,
PRAIRIE,FOX,BEAR
PRAIRIE,ELK,SALMON
PRAIRIE,ELK,
PRAIRIE,FOX,HAWK
PRAIRIE,SALMON,FOX
PRAIRIE,FOX,HAWK
PRAIRIE,SALMON,
RIVER,ELK,SALMON
RIVER,HAWK,
RIVER,HAWK,SALMON
RIVER,BEAR,
RIVER,BEAR,SALMON
RIVER,HAWK,
RIVER,SALMON,
RIVER,SALMON,HAWK
RIVER,SALMON,BEAR
RIVER,BEAR,ELK
RIVER,BEAR,HAWK
RIVER,BEAR,
RIVER,HAWK,
RIVER,HAWK,ELK
RIVER,BEAR,HAWK
RIVER,BEAR,
WETLAND,FOX,
WETLAND,FOX,BEAR
WETLAND,ELK,FOX
WETLAND,FOX,ELK
WETLAND,HAWK,FOX
WETLAND,HAWK,BEAR
WETLAND,FOX,
WETLAND,SALMON,BEAR
WETLAND,SALMON,
WETLAND,FOX,HAWK
WETLAND,FOX,
WETLAND,FOX,SALMON
WETLAND,HAWK,
WETLAND,SALMON,BEAR
WETLAND,SALMON,HAWK
WETLAND,SALMON,
